할인 시작 날짜,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
2025-07-30,GameBillet,,64%,27841,9972,-933.0
2025-07-30,GameBillet,16 hours,61%,27841,10905,-2869.0
2025-07-30,GameBillet,19 minutes,51%,27841,13774,2785.0
2025-07-30,GameBillet,39 minutes,61%,27841,10989,-14652.0
2025-07-30,Epic Game Store,,60%,24900,9960,-14940.0
2025-07-30,Steam,,60%,21500,8600,-12900.0
2025-07-29,GreenManGaming,,60%,21500,8600,-12900.0
2025-07-29,Microsoft Store,,60%,21500,8600,-12900.0
2025-07-23,GameBillet,6 days,8%,27841,25641,-2200.0
2025-07-23,GameBillet,19 minutes,0%,27841,27841,2117.0
2025-07-22,GameBillet,1 day,8%,27841,25724,-2117.0
2025-07-22,GameBillet,19 minutes,0%,27841,27841,2033.0
2025-07-18,GameBillet,3 days,7%,27841,25808,-2033.0
2025-07-11,GreenManGaming,18 days,0%,21500,21500,12900.0
2025-07-11,GameBillet,7 days,0%,27841,27841,NoData
2025-07-11,Steam,18 days,0%,21500,21500,12900.0
2025-06-28,Epic Game Store,31 days,0%,24900,24900,14940.0
2025-06-24,Microsoft Store,34 days,0%,21500,21500,12900.0
2025-06-18,Steam,23 days,60%,21500,8600,-12900.0
2025-06-18,GreenManGaming,23 days,60%,21500,8600,-12900.0
2025-06-18,Epic Game Store,10 days,60%,24900,9960,-14940.0
2025-06-10,Microsoft Store,14 days,60%,21500,8600,-12900.0
2025-05-17,Epic Game Store,31 days,0%,24900,24900,14940.0
2025-05-10,Epic Game Store,7 days,60%,24900,9960,-14940.0
2025-04-16,Steam,2 months,0%,21500,21500,12900.0
2025-04-10,Epic Game Store,30 days,0%,24900,24900,14940.0
2025-04-08,Microsoft Store,2 months,0%,21500,21500,12900.0
2025-04-03,Steam,12 days,60%,21500,8600,-12900.0
2025-04-01,Microsoft Store,7 days,60%,21500,8600,-12900.0
2025-03-27,Epic Game Store,13 days,60%,24900,9960,-14940.0
2025-03-21,Steam,12 days,0%,21500,21500,12900.0
2025-03-14,Steam,6 days,60%,21500,8600,-12900.0
2025-02-25,Steam,17 days,0%,21500,21500,12900.0
2025-02-25,Epic Game Store,30 days,0%,24900,24900,14940.0
2025-02-18,Microsoft Store,41 days,0%,21500,21500,12900.0
2025-02-11,Microsoft Store,7 days,60%,21500,8600,-12900.0
2025-02-11,Steam,13 days,60%,21500,8600,-12900.0
2025-02-11,Epic Game Store,13 days,60%,24900,9960,-14940.0
2025-01-10,Epic Game Store,31 days,0%,24900,24900,14940.0
